EventId,Detector0,Detector1,Detector2,Detector3
355.0,22.0,18.0,1.0,1.0
356.0,47.0,3.0,10.0,0
357.0,131.0,3.0,2.0,0
358.0,4.0,3.0,56.0,10.0
360.0,61.0,6.0,3.0,1.0
362.0,2.0,0,24.0,4.0
365.0,1.0,3.0,0,29.0
366.0,3.0,2.0,29.0,2.0
367.0,15.0,32.0,1.0,2.0
368.0,1.0,1.0,2.0,33.0
369.0,4.0,12.0,5.0,10.0
370.0,27.0,1.0,1.0,0
371.0,6.0,408.0,1.0,2.0
372.0,1.0,48.0,0,0
373.0,2.0,18.0,1.0,3.0
374.0,19.0,0,10.0,0
375.0,10.0,7.0,3.0,1.0
376.0,17.0,0,1.0,0
377.0,2.0,84.0,0,2.0
378.0,7.0,14.0,0,1.0
379.0,32.0,1.0,8.0,0
382.0,1.0,5.0,1.0,114.0
383.0,1.0,0,43.0,9.0
384.0,12.0,1.0,11.0,0
385.0,82.0,0,1.0,0
387.0,1.0,5.0,1.0,29.0
388.0,1.0,2.0,20.0,15.0
389.0,7.0,0,24.0,0
392.0,1.0,0,98.0,3.0
394.0,2.0,1.0,0,82.0
396.0,6.0,0,21.0,0
399.0,3.0,48.0,0,1.0
400.0,70.0,4.0,2.0,0
402.0,43.0,1.0,9.0,0
403.0,4.0,24.0,1.0,9.0
406.0,22.0,8.0,3.0,0
407.0,88.0,1.0,1.0,0
408.0,1.0,0,35.0,17.0
409.0,1.0,14.0,0,11.0
410.0,43.0,2.0,3.0,0
411.0,25.0,5.0,3.0,1.0
412.0,1.0,2.0,19.0,7.0
413.0,2.0,134.0,0,2.0
415.0,19.0,1.0,0,1.0
416.0,7.0,0,89.0,2.0
417.0,1.0,2.0,30.0,1.0
418.0,1.0,8.0,0,3.0
419.0,101.0,2.0,5.0,2.0
422.0,2.0,39.0,0,3.0
423.0,3.0,47.0,2.0,1.0
425.0,104.0,1.0,7.0,4.0
426.0,19.0,1.0,9.0,1.0
427.0,2.0,8.0,2.0,26.0
428.0,1.0,0,3.0,133.0
429.0,34.0,1.0,7.0,0
430.0,19.0,3.0,12.0,1.0
431.0,23.0,0,1.0,0
432.0,22.0,1.0,0,1.0
434.0,1.0,0,295.0,5.0
435.0,1.0,15.0,1.0,138.0
437.0,5.0,1.0,54.0,1.0
440.0,3.0,1.0,93.0,7.0
441.0,2.0,0,17.0,12.0
443.0,2.0,1.0,61.0,1.0
444.0,38.0,6.0,3.0,1.0
445.0,2.0,0,594.0,2.0
446.0,4.0,12.0,1.0,0
447.0,33.0,0,2.0,1.0
448.0,1.0,2.0,26.0,1.0
449.0,13.0,3.0,1.0,0
450.0,4.0,1.0,195.0,2.0
452.0,1.0,1.0,48.0,0
453.0,15.0,0,3.0,1.0
454.0,57.0,4.0,0,1.0
455.0,34.0,2.0,4.0,2.0
456.0,1.0,1.0,16.0,9.0
457.0,88.0,9.0,2.0,0
458.0,8.0,5.0,30.0,20.0
460.0,5.0,1.0,39.0,1.0
461.0,4.0,0,75.0,8.0
462.0,124.0,4.0,1.0,1.0
463.0,1.0,24.0,0,12.0
464.0,2.0,5.0,8.0,14.0
465.0,3.0,9.0,3.0,23.0
466.0,1.0,1.0,18.0,1.0
467.0,289.0,2.0,7.0,1.0
468.0,1.0,8.0,1.0,20.0
469.0,4.0,71.0,0,3.0
470.0,4.0,14.0,1.0,30.0
471.0,85.0,1.0,5.0,0
472.0,3.0,31.0,0,5.0
473.0,2.0,0,490.0,4.0
474.0,1.0,6.0,2.0,24.0
475.0,2.0,3.0,3.0,142.0
476.0,7.0,8.0,5.0,8.0
477.0,2.0,17.0,2.0,8.0
478.0,2.0,26.0,0,4.0
479.0,33.0,2.0,6.0,0
480.0,2.0,19.0,0,6.0
481.0,1.0,0,7.0,32.0
482.0,38.0,2.0,3.0,1.0
483.0,4.0,181.0,0,6.0
485.0,57.0,1.0,10.0,2.0
487.0,2.0,58.0,0,1.0
488.0,2.0,1.0,10.0,3.0
490.0,17.0,5.0,12.0,3.0
491.0,34.0,0,2.0,2.0
492.0,30.0,0,2.0,0
493.0,33.0,2.0,0,0
494.0,1.0,1.0,3.0,23.0
495.0,3.0,5.0,3.0,458.0
496.0,18.0,0,0,0
497.0,2.0,1.0,67.0,0
499.0,2.0,0,60.0,5.0
