EventId,1stLargest,2ndLargest,3rdLargest,4thLargest
575,38,1,1,0
576,10,9,0,0
577,22,14,1,1
578,18,6,0,0
579,18,5,2,0
580,33,1,1,0
581,32,6,2,1
582,138,3,2,0
583,222,5,1,1
584,24,5,3,0
585,23,1,0,0
586,43,10,2,1
587,34,33,7,2
588,39,9,2,1
589,77,2,0,0
590,17,10,3,0
591,21,4,2,0
592,31,1,1,0
593,87,3,2,0
594,25,1,0,0
595,18,11,1,1
596,8,6,6,1
597,34,2,1,0
598,14,6,4,1
599,23,4,1,0
600,51,5,3,0
601,21,6,3,0
602,21,1,0,0
603,24,11,1,1
604,58,7,2,0
605,35,5,2,1
606,93,1,0,0
607,60,3,3,0
608,31,1,0,0
609,265,1,1,1
610,9,5,1,1
611,78,6,1,1
612,77,1,0,0
613,35,2,1,0
614,54,3,2,1
615,129,4,2,0
616,112,1,0,0
617,109,4,1,1
618,50,3,1,0
619,62,4,2,1
620,39,3,1,0
621,163,3,1,0
622,53,4,2,0
623,20,2,1,0
624,21,1,1,0
625,33,3,2,0
626,11,11,0,0
627,48,6,2,2
628,57,2,2,0
629,14,14,1,1
630,36,1,0,0
631,64,3,1,0
632,42,2,1,0
633,52,3,1,0
634,98,2,1,1
635,19,4,0,0
636,50,2,1,0
637,22,3,1,0
638,26,4,0,0
639,12,11,0,0
640,33,2,1,1
641,93,12,2,2
642,19,10,0,0
643,25,2,0,0
644,18,10,3,1
645,35,1,1,0
646,229,6,2,0
647,20,15,1,0
648,29,0,0,0
649,60,2,2,0
650,20,2,1,1
651,229,9,2,2
652,18,1,1,0
653,14,8,1,0
654,15,8,1,1
655,29,6,2,0
656,31,1,1,0
657,17,12,1,1
658,38,1,0,0
659,33,3,1,1
660,49,6,3,0
661,29,3,1,0
662,30,5,3,2
663,91,1,0,0
664,93,2,1,1
665,50,1,1,0
666,9,7,2,0
667,29,7,0,0
668,123,1,0,0
669,123,2,0,0
670,66,9,1,1
671,73,1,1,0
672,31,1,0,0
673,29,1,1,0
674,72,3,0,0
675,41,6,1,1
676,20,9,1,0
677,43,5,1,0
678,36,3,0,0
679,12,3,1,0
680,68,4,3,0
681,23,11,1,0
682,33,1,1,1
683,12,6,0,0
684,15,11,1,1
685,23,8,3,3
686,59,3,1,0
687,11,8,1,0
688,40,1,1,0
689,52,11,3,0
690,17,5,2,0
691,12,5,1,0
692,49,5,0,0
693,99,2,1,0
694,13,7,2,2
695,19,0,0,0
696,11,8,1,1
697,74,4,1,1
698,25,3,0,0
699,12,6,1,1
700,54,5,1,1
701,28,8,2,1
702,19,2,0,0
703,48,4,3,1
704,51,3,0,0
705,143,1,1,0
706,34,2,2,2
707,52,1,0,0
708,203,2,1,0
709,34,2,0,0
710,185,1,0,0
711,41,1,1,1
712,34,2,2,1
713,19,8,1,0
714,11,7,3,2
715,18,6,1,0
716,45,2,0,0
717,48,6,1,0
718,25,2,1,0
719,53,3,1,1
720,10,4,0,0
721,104,2,1,1
722,143,12,3,0
723,29,3,1,0
724,189,2,1,0
725,154,5,2,2
726,42,3,1,0
727,24,1,0,0
728,11,10,2,0
729,11,9,1,0
730,33,1,0,0
731,11,8,7,4
732,34,4,0,0
733,122,4,1,0
734,28,2,1,0
735,32,3,0,0
736,13,7,1,0
737,25,2,1,1
738,33,4,2,0
739,51,2,0,0
740,25,1,0,0
741,91,0,0,0
742,169,3,1,1
743,34,2,2,0
744,304,3,2,0
745,21,1,0,0
746,15,11,1,0
747,30,7,2,1
748,41,5,2,1
749,38,4,2,0
750,48,4,1,0
751,43,5,4,2
752,286,8,4,0
753,27,3,2,0
754,319,4,3,0
755,30,1,1,0
756,33,6,2,1
757,27,8,2,0
758,464,2,0,0
759,46,3,0,0
760,35,4,1,0
761,43,6,2,1
762,59,4,0,0
763,32,0,0,0
764,44,3,1,0
765,24,5,1,1
766,403,3,0,0
767,31,10,0,0
768,185,3,1,0
769,41,10,2,1
770,67,2,0,0
771,32,3,1,0
772,65,2,0,0
773,48,1,1,0
774,16,7,2,0
775,53,1,0,0
776,88,2,0,0
777,38,3,0,0
778,29,9,1,0
779,32,2,1,1
780,34,1,1,0
781,45,4,2,0
782,17,17,1,1
783,26,2,0,0
784,34,2,1,0
785,12,5,0,0
786,28,2,1,0
787,9,9,2,0
788,15,0,0,0
789,14,5,3,0
790,66,2,1,0
791,18,6,0,0
792,19,0,0,0
793,35,4,0,0
794,21,0,0,0
795,261,3,2,0
796,48,5,3,1
797,38,0,0,0
798,26,1,0,0
799,27,7,1,0
800,12,7,1,0
801,69,2,0,0
802,29,4,3,1
803,25,6,2,1
804,25,6,1,0
805,739,1,1,0
806,33,1,0,0
807,26,7,1,0
808,11,8,1,0
809,18,8,0,0
810,21,1,1,0
811,140,6,2,0
812,35,2,2,0
813,46,1,1,0
814,41,0,0,0
815,18,9,2,0
816,45,5,3,1
817,91,1,1,0
818,241,1,0,0
819,22,8,2,0
820,39,11,1,0
821,121,2,1,0
822,24,1,1,0
823,10,7,1,1
824,564,1,1,0
825,45,15,0,0
826,58,0,0,0
827,31,8,2,0
828,46,21,3,1
829,11,1,1,0
830,682,4,3,0
831,25,4,3,0
832,45,7,2,1
833,31,4,1,1
834,18,11,0,0
835,9,8,3,1
836,219,1,1,0
837,29,0,0,0
838,22,3,0,0
839,28,3,1,1
840,10,6,3,1
841,10,5,3,0
842,49,2,0,0
843,9,8,3,1
844,747,2,1,1
845,7,5,4,1
846,21,12,2,0
847,119,5,3,0
848,76,20,1,1
849,45,0,0,0
850,26,19,2,1
851,9,4,3,3
852,12,6,1,1
853,28,7,6,2
854,78,3,2,1
855,414,2,1,0
856,31,1,0,0
857,14,6,5,2
858,23,6,0,0
859,17,5,3,1
860,33,2,2,0
861,21,20,1,0
862,67,2,1,0
863,25,3,1,1
864,29,4,1,0
865,222,2,1,0
866,104,7,4,1
867,19,2,1,0
868,35,3,1,0
869,119,1,0,0
870,38,2,0,0
871,18,8,0,0
872,41,4,4,1
873,54,1,1,0
874,16,1,0,0
875,27,12,2,1
876,30,0,0,0
877,51,1,0,0
878,55,3,2,0
879,26,2,0,0
880,76,8,7,1
881,478,1,1,1
882,72,6,2,1
883,45,1,0,0
884,51,8,0,0
885,59,12,0,0
886,29,5,1,0
887,6,5,5,4
888,25,2,1,1
889,34,0,0,0
890,39,1,0,0
891,21,0,0,0
892,124,1,1,0
893,18,9,2,1
894,449,4,3,0
895,17,8,3,0
896,8,4,1,0
897,33,3,2,0
898,49,8,0,0
899,28,1,0,0
900,26,1,0,0
901,23,5,1,0
902,62,5,1,0
903,126,2,2,0
904,91,6,1,0
905,18,13,1,0
906,20,1,0,0
907,22,0,0,0
908,114,3,1,0
909,21,3,1,0
910,178,3,2,0
911,57,1,0,0
912,31,5,1,0
913,29,2,1,0
914,56,0,0,0
915,9,7,0,0
916,65,2,0,0
917,29,1,0,0
